BnaA06g24400D	GSBRNA2T00000719001
BnaA06g24390D	GSBRNA2T00000720001
BnaA06g24380D	GSBRNA2T00000721001
BnaA06g24370D	GSBRNA2T00000726001
BnaA06g24360D	GSBRNA2T00000728001
BnaA06g24350D	GSBRNA2T00000729001
BnaA06g24340D	GSBRNA2T00000731001
BnaA06g24330D	GSBRNA2T00000732001
BnaA06g24320D	GSBRNA2T00000733001
BnaA06g24310D	GSBRNA2T00000734001
BnaA06g24300D	GSBRNA2T00000736001
BnaA06g24290D	GSBRNA2T00000737001
BnaA06g24280D	GSBRNA2T00000741001
BnaA06g24270D	GSBRNA2T00000749001
BnaA06g24260D	GSBRNA2T00000750001
BnaA06g24250D	GSBRNA2T00000751001
BnaA06g24240D	GSBRNA2T00000752001
BnaA06g24230D	GSBRNA2T00000758001
BnaA06g24220D	GSBRNA2T00000759001
BnaA06g24210D	GSBRNA2T00000760001
BnaA06g24200D	GSBRNA2T00000761001
BnaA06g24190D	GSBRNA2T00000762001
BnaA06g24180D	GSBRNA2T00000764001
BnaA06g24170D	GSBRNA2T00000765001
BnaA06g24160D	GSBRNA2T00000766001
BnaA06g24150D	GSBRNA2T00000767001
BnaA06g24140D	GSBRNA2T00000768001
BnaA06g24130D	GSBRNA2T00000769001
BnaA06g24120D	GSBRNA2T00000770001
BnaA06g24110D	GSBRNA2T00000773001
BnaA06g24100D	GSBRNA2T00000774001
BnaA06g24090D	GSBRNA2T00000775001
BnaA06g24080D	GSBRNA2T00000777001
BnaA06g24070D	GSBRNA2T00000779001
BnaA06g24060D	GSBRNA2T00000780001
BnaA06g24050D	GSBRNA2T00000781001
BnaA06g24040D	GSBRNA2T00000782001
BnaA06g24030D	GSBRNA2T00000783001
BnaA06g24020D	GSBRNA2T00000784001
BnaA06g24010D	GSBRNA2T00000785001
BnaA06g24000D	GSBRNA2T00000786001
BnaA06g23990D	GSBRNA2T00000787001
BnaA06g23980D	GSBRNA2T00000788001
BnaA06g23970D	GSBRNA2T00000791001
BnaA06g23960D	GSBRNA2T00000792001
BnaA06g23950D	GSBRNA2T00000793001
BnaA06g23940D	GSBRNA2T00000794001
BnaA06g23930D	GSBRNA2T00000795001
BnaA06g23920D	GSBRNA2T00000796001
BnaA06g23910D	GSBRNA2T00000798001
BnaA06g23900D	GSBRNA2T00000799001
BnaA06g23890D	GSBRNA2T00000800001
BnaA06g23880D	GSBRNA2T00000801001
BnaA06g23870D	GSBRNA2T00000802001
BnaA06g23860D	GSBRNA2T00000803001
BnaA06g23850D	GSBRNA2T00000804001
BnaA06g23840D	GSBRNA2T00000806001
BnaA06g23830D	GSBRNA2T00000807001
BnaA06g23820D	GSBRNA2T00000808001
BnaA06g23810D	GSBRNA2T00000809001
BnaA06g23800D	GSBRNA2T00000811001
BnaA06g23790D	GSBRNA2T00000812001
BnaA06g23780D	GSBRNA2T00000813001
BnaA06g23770D	GSBRNA2T00000814001
BnaA06g23760D	GSBRNA2T00000815001
BnaA06g23750D	GSBRNA2T00000817001
BnaA06g23740D	GSBRNA2T00000818001
BnaA06g23730D	GSBRNA2T00000819001
BnaA06g23720D	GSBRNA2T00000820001
BnaA06g23710D	GSBRNA2T00000822001
